backend_name,last_update_date,qubit,T1_us,T2_us,readout_error,prob_meas0_prep1,prob_meas1_prep0,readout_length_ns
ibm_aachen,2025-09-07T14:14:55-07:00,7,321.01464545622827,68.75432023193103,0.009033203125,0.00830078125,0.009765625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,17,183.625645420475,78.35185105283887,0.0040283203125,0.00830078125,0.001953125,2600
ibm_aachen,2025-09-07T14:14:55-07:00,25,221.08931364188226,80.66233215812787,0.007080078125,0.01171875,0.00439453125,2600
ibm_aachen,2025-09-07T14:14:55-07:00,26,189.49917979484874,95.80995983102429,0.0064697265625,0.0078125,0.0029296875,2600
ibm_aachen,2025-09-07T14:14:55-07:00,27,230.16685176683086,43.89845175096134,0.0501708984375,0.10302734375,0.0029296875,2600
ibm_aachen,2025-09-07T14:14:55-07:00,28,144.14244435911746,70.47858937402697,0.010498046875,0.01611328125,0.00537109375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,29,181.99489468640502,16.81008364889074,0.0059814453125,0.0068359375,0.00048828125,2600
ibm_aachen,2025-09-07T14:14:55-07:00,37,233.49478940958488,97.62385206703775,0.0191650390625,0.0224609375,0.0166015625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,38,132.00114342329476,53.84259372342774,0.00634765625,0.01171875,0.00537109375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,43,249.50312475966547,258.612261923952,0.01025390625,0.00390625,0.0068359375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,44,233.62912746457914,314.70813617109616,0.0130615234375,0.013671875,0.01904296875,2600
ibm_aachen,2025-09-07T14:14:55-07:00,45,346.5482049100424,329.01752210232024,0.0032958984375,0.01513671875,0.0009765625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,46,292.8927870728997,65.7991517619548,0.0374755859375,0.05322265625,0.00537109375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,47,403.3240715420333,292.9476443691415,0.0050048828125,0.0087890625,0,2600
ibm_aachen,2025-09-07T14:14:55-07:00,48,310.6975561842952,147.67677175261446,0.0238037109375,0.0224609375,0.0185546875,2600
ibm_aachen,2025-09-07T14:14:55-07:00,49,277.7561347604591,371.41629579343476,0.00439453125,0.00537109375,0.00146484375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,50,279.10745371519926,332.59477021137656,0.0135498046875,0.00732421875,0.00146484375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,51,369.13769354892975,92.30203401383622,0.004150390625,0.00439453125,0.00146484375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,56,273.7539440372652,375.39410753660405,0.005615234375,0.0068359375,0.0009765625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,57,208.81641297060455,212.48023418995263,0.0035400390625,0.00439453125,0.0009765625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,58,121.47226739886557,184.4668651885122,0.02783203125,0.033203125,0.0224609375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,63,338.3487256184672,409.9713198328028,0.0115966796875,0.0078125,0.0009765625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,64,127.50556734914187,136.16838945955237,0.004150390625,0.0078125,0.0009765625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,65,169.94383901943146,128.78221061863897,0.0296630859375,0.0400390625,0.0390625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,66,155.8161510914517,202.40450486488314,0.005859375,0.01171875,0.005859375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,67,234.3074445938375,324.48527025001596,0.0074462890625,0.0126953125,0.0029296875,2600
ibm_aachen,2025-09-07T14:14:55-07:00,68,158.51148202736533,151.21732162193294,0.0081787109375,0.0126953125,0.0087890625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,69,143.95267858292726,189.77692290668662,0.0059814453125,0.017578125,0,2600
ibm_aachen,2025-09-07T14:14:55-07:00,70,126.46135223873316,156.7980457175937,0.0047607421875,0.01611328125,0.00048828125,2600
ibm_aachen,2025-09-07T14:14:55-07:00,71,280.23656939617064,169.10767182889353,0.0050048828125,0.009765625,0.00048828125,2600
ibm_aachen,2025-09-07T14:14:55-07:00,72,342.72901073187955,312.6736025243983,0.0228271484375,0.02685546875,0.01025390625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,73,269.31887780717767,412.1755359914374,0.0120849609375,0.01904296875,0.0068359375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,77,133.88934097127458,163.34646603458813,0.05078125,0.0546875,0.04736328125,2600
ibm_aachen,2025-09-07T14:14:55-07:00,78,109.73626430748777,103.1986264465025,0.005615234375,0.00390625,0,2600
ibm_aachen,2025-09-07T14:14:55-07:00,79,186.65119738926333,311.1164788658382,0.014892578125,0.017578125,0.0107421875,2600
ibm_aachen,2025-09-07T14:14:55-07:00,85,304.55691402700353,366.13414221464,0.0048828125,0.00634765625,0.00244140625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,86,169.38282371441935,199.56858763647517,0.005615234375,0.00341796875,0.001953125,2600
ibm_aachen,2025-09-07T14:14:55-07:00,87,190.27800213617581,269.79485308092103,0.0157470703125,0.0126953125,0.0166015625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,88,332.6545671236559,476.89610825414513,0.0062255859375,0.00830078125,0.00341796875,2600
ibm_aachen,2025-09-07T14:14:55-07:00,89,339.4198388482062,434.8395061833167,0.0030517578125,0.00341796875,0.00048828125,2600
ibm_aachen,2025-09-07T14:14:55-07:00,90,265.9991547805591,149.41410937958943,0.00244140625,0.00537109375,0.00048828125,2600
ibm_aachen,2025-09-07T14:14:55-07:00,91,225.09570130633816,288.9474658488138,0.0057373046875,0.0107421875,0.00146484375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,92,407.674702303043,623.0990702543583,0.02587890625,0.0302734375,0.03759765625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,93,143.20852117175411,173.01093947094168,0.0166015625,0.021484375,0.02880859375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,94,240.00851933986257,311.61519570952964,0.0125732421875,0.0146484375,0.021484375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,95,246.84951876631908,369.8314655749292,0.0035400390625,0.00830078125,0.005859375,2600
ibm_aachen,2025-09-07T14:14:55-07:00,97,116.28336143795742,255.68462083519,0.005615234375,0.0068359375,0,2600
ibm_aachen,2025-09-07T14:14:55-07:00,98,286.37283319355817,372.77681091445254,0.0020751953125,0.0068359375,0,2600
ibm_aachen,2025-09-07T14:14:55-07:00,99,333.5589978179874,259.00602286035854,0.00390625,0.00390625,0.0029296875,2600
ibm_aachen,2025-09-07T14:14:55-07:00,107,151.82493913071013,108.81958472862135,0.0050048828125,0.01220703125,0.0009765625,2600
ibm_aachen,2025-09-07T14:14:55-07:00,108,304.16657602550185,25.06473262407256,0.0087890625,0.009765625,0.00732421875,2600
ibm_aachen,2025-09-07T14:14:55-07:00,109,223.35283543533833,77.94407990289326,0.003173828125,0.00634765625,0,2600
