backend_label,backend_name,source_file,last_update_date,n_used_qubits,n_used_cz_couplers,T1_us_median,T1_us_min,T1_us_max,T2_us_median,T2_us_min,T2_us_max,readout_error_median,readout_error_min,readout_error_max,sx_error_median,sx_error_min,sx_error_max,cz_error_median,cz_error_min,cz_error_max,sx_length_ns_median,sx_length_ns_min,sx_length_ns_max,cz_length_ns_median,cz_length_ns_min,cz_length_ns_max
Aachen,ibm_aachen,aachen.json,2025-09-07T14:14:55-07:00,65,72,226.5083637051505,109.73626430748777,407.674702303043,199.56858763647517,16.81008364889074,623.0990702543583,0.007080078125,0.0020751953125,0.277099609375,0.00023045110604821535,0.0001074436950267187,0.00238445127744987,0.0019255335560498382,0.0009068301959326563,0.1492940566923775,32.0,32.0,32.0,68.0,68.0,168.0
Marrakesh,ibm_marrakesh,marrakesh.json,2025-09-09T13:26:02-07:00,65,68,187.78460083925327,6.5961714996468555,380.62445793301464,108.60757528202505,7.572645237910216,358.1353276198585,0.0086669921875,0.00341796875,0.268798828125,0.00030052528966560525,0.00013943235658907241,1.0,0.0024860614824939037,0.0012116075210652777,0.016343897324734985,36.0,36.0,36.0,68.0,68.0,80.0
Pittsburgh,ibm_pittsburgh,pittsburgh.json,2025-08-01T00:06:14-07:00,65,71,310.2188280526942,20.328488668759118,444.55295209773783,341.41661900164877,38.458313896660556,681.4751343322328,0.00439453125,0.0009765625,0.12548828125,0.00028527049735634297,0.00010233397361056477,1.0,0.0027267067892044194,0.0007672378749358777,0.131393476345604,32.0,32.0,32.0,88.0,88.0,88.0
